word,freq,joinable,trim_first_letter
ގެ,1187,1,
ން,874,1,
އަށް,753,1,1
އެއް,539,1,1
ތައް,397,1,
ވަންތަ,388,1,
އީ,357,1,1
ގައި,285,1,
ވެ,272,1,
އާއި,238,1,1
ވި,226,1,
ންގެ,219,1,
ގެފާނު,218,1,
ތަކުގެ,203,1,
އަށެވެ,196,1,1
އެވެ,194,1,1
އަކު,179,1,1
ކުރާ,173,,
އާ,171,1,1
ންނަށް,168,1,
ކޮށް,153,,
ގެފާނުގެ,144,1,
ތަކަށް,138,1,
އަކަށް,127,1,1
ކުރައްވާ,123,,
ވެގެންވާ,120,,
އެއްގެ,109,1,1
ވާ,103,1,
ގައެވެ,103,,
ވެއްޖެ,103,,
ކުރެއްވިއެވެ,102,,
އަކީ,102,1,1
ގެފާނަށް,93,1,
ފިޔަވައި,90,,
ކަން,89,,
އާއަށް,89,1,1
ވެރިން,88,1,
ދުވަހުން,87,,
އާމެދު,84,1,1
ހުށްޓެވެ,82,,
ކުރާށެވެ,82,,
ގެފާނާއި,78,1,
ފުޅު,77,1,
ތެރި,77,,
ވެރިވާށެވެ,73,,
ކުރެއްވީމެވެ,71,,
އަށާއި,70,1,1
ގެފާނެވެ,66,1,
އާގެ,59,1,1
އަކުން,58,1,1
ތަކުން,57,1,
ންނާއި,57,1,
ވީ,56,,
ކުރައްވައި,54,,
ންނެވެ,52,1,
ވެރި,52,,
ކުރަނީ,51,,
ވެރިންގެ,51,1,
ވޮޑިގެންވެއެވެ,51,,
އެކެވެ,50,1,1
ކުރެއްވި,50,,
ކުރައްވާށެވެ,50,,
ގޮތުގައި,49,,
ކުރައްވާފައިވާ,49,,
ގެމީހުންނޭވެ,48,1,
ދެއްވާ,48,,
ވެރިންނަށް,47,1,
ދުވަހަށް,44,,
ކުރައްވާނެތެވެ,44,,
ވިމީހުން,43,,
ގެމީހުންގެ,42,1,
ވަނީ,42,,
ވާށެވެ,40,,
ވެގެން,40,,
ކުރެތެވެ,38,,
ގެމީހުން,37,1,
ފުޅުން,35,1,
ކުޅަ,35,,
އާއެކު,34,1,1
ތިޔަބައިމީހުންނަށް,34,,
ންނާ,33,1,
ތަކާމެދު,32,1,
އެއުރެންނަށް,31,,
ވުމުގެ,31,,
ކުރައްވަމެވެ,30,,
ދެނެވޮޑިގެންވަނީ,30,,
ކުރުމަށް,29,,
ންތަކެއް,28,1,
ތަކެއް,28,1,
ގައިވާ,28,,
ކުރައްވާހުށީ,28,,
ގެމީހުންނަށް,28,1,
ވެރިންނެވެ,27,,
އެއްކަމުގައި,26,1,1
ކުރައްވަތެވެ,26,,
ކަމުގެ,26,,
ނުވާ,26,,
ހުރީ,25,,
އަކާ,25,1,
ވޫއެވެ,25,,
ފުޅަށް,25,,
ވެއްޖައީމުއެވެ,25,,
ދެއްވި,24,,
ގަންދީ,24,,
އެއުރެންގެ,23,,
ދޭނޭ,23,,
ތަކެވެ,23,1,
ތަކާއި,23,1,
ވަންތަކަމާއެވެ,22,,
ވުމަށް,22,,
އޭ,22,,
ވަންތަކަމުގެ,22,,
އަށްޓަކައި,22,,
ވެގެންވަނީ,22,,
ދެއްވީމެވެ,22,,
ލިބިގެންވާ,22,,
ވެގެންނެވެ,21,,
އިން,21,1,
އަކާނުލައި,21,,
ދެނެވޮޑިގެންވެތެވެ,21,,
ދެއްވާނެތެވެ,21,,
ކުރެއްވިހިނދު,20,,
ލެއްވިއެވެ,20,,
ނުކުރާށެވެ,20,,
ބާވައިލެއްވި,20,,
ދޭ,20,,
ތެދުމަގެއް,20,,
ކުރެއްވުމަށްޓަކައެވެ,20,,
ވެގެންތިބި,19,,
އެއްވެސް,19,1,1
ގެފާނަށާއި,19,1,
ތެރިވެގެންވާ,19,,
ންނަށާއި,19,,
ވެރިންނޭވެ,19,,
ވިދާޅުވާށެވެ,19,,
ފުދެއެވެ,19,,
ވަންތަކަން,18,,
ކުރުން,18,,
ވެއްޖެނަމަ,18,,
ފުޅާއެކު,18,,
ވުމަށްޓަކައެވެ,18,,
ބާގައިމީހުން,18,,
ގޮތް,17,,
ވުން,17,,
އަކަށްމެ,17,,
ކުރައްވާފައިވެއެވެ,17,,
ވެރިވެ,17,,
ދޭށެވެ,16,,
އެކަލާނގެ,16,,
ދީ,16,,
ވަންތަކަމުން,16,,
ކޮށްފިނަމަ,16,,
ކަނޑައަޅުއްވާފައިވާ,16,,
ކުރާހުށިކަމެވެ,16,,
ލިބިވޮޑިގެންވާ,16,,
ކަމުގައި,16,,
ތެދެވެ,16,,
ކަމުން,16,,
ފިރިހެނުންނާއި,16,,
ބާގައިމީހުންނާއި,16,,
ތެރިންނަށް,15,,
ނުވެއެވެ,15,,
ންތައް,15,,
އާއިގެން,15,1,1
މެނުވީ,15,,
ކުރެއްވީ,15,,
ލިބުމަކީ,15,,
ދެއްވައި,15,,
ތިޔަބައިމީހުން,14,,
ކުރި,14,,
ނުވާށެވެ,14,,
ބާވައިލެއްވީ,14,,
ވެރިކަން,14,,
ދެއްވަތެވެ,14,,
ތެރިންގެ,14,,
އިރާދަކުރެއްވިނަމަ,14,,
މަގުން,14,,
ގެދަރިންނަށް,14,1,
ކުރައްވާފައިވަނީ,14,,
އަކާއި,14,,
ކަމާއިގެން,14,,
ގެދަރިން,14,1,
ދުވަސް,14,,
ދެއްވާށެވެ,13,,
ތެރިން,13,,
ންނަކީ,13,,
ކަމަށް,13,,
ކުރައްވާނޭ,13,,
ކުރައްވައިފިއެވެ,13,,
ކުރައްވަނީ,13,,
ލޯބިވެވޮޑިގެނެއް,13,,
ކުރައްވައިފިނަމަ,13,,
އާއެވެ,13,1,1
ތަކާއިގެން,12,1,
ތެރިޔަކު,12,,
ވޮޑިގެންވަނީ,12,,
ކުރައްވާހުށީމެވެ,12,,
ތިމަންރަސްކަލާނގެ,12,,
ވެފައިވާ,12,,
ވެރިންނާއި,12,,
ކޮށްއުޅޭ,12,,
އަކަށްވެސް,12,,
ކުރެއްވުމަށް,12,,
އަކީމެވެ,12,,
ގެމީހުންނާއި,12,1,
ފުޅަކީ,12,,
ވެރިވުމަށްޓަކައެވެ,11,,
ތަކުންނަށް,11,1,
ތެދުމަގު,11,,
ންވާ,11,,
ގަދަފަދަވެގެންވާ,11,,
ނޫން,11,,
ލޯބިވެވޮޑިގެންވެތެވެ,11,,
އެ,11,,
ދެއްވިއެވެ,11,,
ކުރާމީހާ,11,,
ގައްޔާއި,11,1,
ދެއްވާފައިވާ,11,,
ބަސްފުޅު,11,,
ވެރިވާ,11,,
ވިމީހުންނަށް,11,,
ކިޔައި,10,,
ދީބަލާށެވެ,10,,
ގެދަރިންނޭވެ,10,1,
ވުމަށްފަހު,10,,
ލައްވާ,10,,
ވާހުށީ,10,,
ވެއްޖެމީހާ,10,,
ލިބުމަށްޓަކައެވެ,10,,
ވެރިވި,10,,
އާއާއި,10,1,1
ކުރާމީހުން,10,,
ދެއްވާނދޭވެ,10,,
ގެފާނުންގެ,10,1,
ތިޔަބައިމީހުންގެ,10,,
ތެރިވެ,10,,
ތެރިކަން,10,,
ވެގެންވެއެވެ,10,,
ދެއްވަނީ,10,,
އަޅުންގެ,10,,
ބާގައިމީހުންގެ,10,,
ލެއްވި,10,,
ކުރުމަށްޓަކައެވެ,10,,
އެއްނެތެވެ,10,1,1
ދުވަހުގެ,9,,
ތަކަށްޓަކައި,9,1,
ވެރިންނާ,9,,
ބެއްލެވުން,9,,
ވެގެންހުރި,9,,
އިރާދަކުރައްވާ,9,,
އެއްނެތި,9,1,1
ވެސް,9,,
ތެދު,9,,
އިރާދަކުރައްވަނީ,9,,
ކަމާއި,9,,
ކޮށްދެއްވަތެވެ,9,,
ސޫފީގެ,9,,
ވަންތަކަމާއި,8,,
ތެރިކަމުގެ,8,,
ވާނީ,8,,
ދެއްވުމަށް,8,,
ކުރައްވާކަން,8,,
ންވެސް,8,,
އަށްވުރެ,8,,
ންނީ,8,,
ހަނދުމަކުރާށެވެ,8,,
ގައިވެސް,8,,
އަންނާނީ,8,,
އަންހެނުން,8,,
ތަކުގައި,8,1,
ނުކުރާހުށިކަމެވެ,8,,
ވާމީހާ,8,,
ކުރައްވާފައެވެ,8,,
ވިއެވެ,8,,
ކުރައްވާނދޭވެ,8,,
އެއްވެއެވެ,8,1,1
ހުރިކަމުގެ,8,,
އެއްގައި,8,1,1
ކުޅަމީހުން,8,,
އެއުރެން,8,,
ތެރިވާ,8,,
އަކާއިގެން,8,,
ތަކާ,8,1,
ކުރާނަމަ,8,,
ކުރެއްވުމަށެވެ,8,,
ވެފައި,8,,
ތެރިކަމާއި,8,,
ކޮށްފިމީހާ,8,,
ކޮށްއުޅުނު,8,,
ވެވަޑައިގަންނަވާށެވެ,8,,
ވެއްޖައީމެވެ,8,,
ދަންނަވަތެވެ,8,,
ގެފާނީ,8,1,
ގެދަރިޔަކު,8,1,
ތެދުކަން,8,,
ފުޅުތައް,7,1,
ބާވައިލެއްވީމެވެ,7,,
އިރާދަކުރެއްވިއްޔާ,7,,
ފުޅާލައިގެން,7,,
އާއާ,7,1,1
ވެރިންކުރެ,7,,
ވިމީހުންގެ,7,,
އާއީ,7,1,1
ހަނދުމަކޮށް,7,,
ވެގެނެއް,7,,
ފުޅާ,7,,
ތަކުންގެ,7,1,
ނުކުރާ,7,,
ދޭނެ,7,,
ކުރެއްވުން,7,,
ތަކަށާއި,7,1,
ވެރިވާނަމަ,7,,
ދެއްވުން,7,,
ންނަށްޓަކައި,7,,
އާއަށާއި,7,1,1
ވާނެ,7,,
ވެއްޖެއެވެ,7,,
ކުރާނެތެވެ,7,,
ދުވަހު,7,,
އައިހިނދު,7,,
ބުންޏެވެ,7,,
އަންހެނުންނަށް,7,,
ފުޅުގައި,7,,
ވެއްޖައީމުއޭ,6,,
ވާށޭ,6,,
ކަމެއްގައި,6,,
ވެވޮޑިގެންވާ,6,,
ލިބޭނޭ,6,,
ގެފާނާ,6,1,
މިލްކުވެގެންވަނީ,6,,
ވެތެވެ,6,,
ތަކަކީ,6,1,
ރަނގަޅު,6,,
ތެރިޔެކެވެ,6,,
ވެރިކަމުގެ,6,,
ތެރިންދެކެ,6,,
ތަކުގައިވާ,6,1,
ންކުރެ,6,,
ވުންވަނީ,6,,
ލައްވާފައިވާ,6,,
ލެއްވުމަށްޓަކައެވެ,6,,
ކުރަން,6,,
އަކީވެސް,6,,
ދެނެވޮޑިގަތުން,6,,
ވެއެވެ,6,,
ވެރިވުމަށް,6,,
ވާނަމަ,6,,
ލެއްވީމެވެ,6,,
އެއްގައިކަން,6,1,1
ވާކަން,6,,
އަންހެނުންނާއި,6,,
ކުރެއްވުމަށާއި,6,,
ވިމީހާ,6,,
ކުރުމަށްޓަކައި,6,,
ތަކުގެވެރި,6,1,
ނުވެ,6,,
ވެވަޑައިނުގަންނަވާށެވެ,6,,
ގޮތުން,6,,
ވާނެތެވެ,6,,
އަންގަވާނެތެވެ,6,,
ކުރައްވާނެ,6,,
ކުރާމީހުންގެ,6,,
ފަރުބަދައިގެ,6,,
އައިސް,6,,
ފުޅެވެ,6,,
ސޫފި,6,,
ތައްކޮށް,6,,
ތައްކުޅަ,6,,
ންނޭވެ,6,,
ގަންދެއްވައި,6,,
ދުވަހާމެދު,6,,
ންތަކަށް,6,,
ދުވަހަކީ,6,,
ދުވަހާ,5,,
ކުރެއްވިޔަސް,5,,
ކަލޭގެފާނު,5,,
ކޮށްކޮށް,5,,
ކުރާށޭ,5,,
ތަކަށެވެ,5,1,
ކޮށްދެއްވާށެވެ,5,,
ދެނެވޮޑިގެންވާކަން,5,,
ވެގަތް,5,,
ދެއްވުމުގައި,5,,
ލައްވާނެތެވެ,5,,
ކުރާކަން,5,,
ކޮށްފި,5,,
ލައްވައި,5,,
ވެއްޖައުމަށް,5,,
ގެތެރެއިން,5,1,
ވުމެއް,5,,
ދެނެވޮޑިގެންވެއެވެ,5,,
ތެރިވުން,5,,
ދިނުން,5,,
ވަންތަވެރި,5,,
ތެރިވާނޭ,5,,
ފުޅުގެ,5,,
ކުރުމުގައި,5,,
ލައްވާނދޭވެ,5,,
ދޭނީ,5,,
ގެފާނާމެދު,5,1,
އިންގެ,5,1,
ވުމުގައި,5,,
ވެރިންދެކެ,5,,
ވެރިވުން,5,,
ވީހެއްޔެވެ,5,,
ކުރަމުއެވެ,5,,
ވަމުއެވެ,5,,
ވެރިންނަށެވެ,5,,
ލެއްވުން,5,,
ދެއްވާނަމަ,5,,
އެކޭ,5,,
ތިމަންމެންނަށް,5,,
ކުރައްވާނެކަން,5,,
ކުރުމަށްފަހު,5,,
ކުރުމުގެ,5,,
މަގުފުރައްދަވާ,5,,
ލައްވާފައިވެއެވެ,5,,
ކުރާހުށީމެވެ,5,,
ންނަކަށް,5,,
ބަޔަކު,5,,
ތަކަކަށް,5,1,
ދެއްވުމަށެވެ,5,,
ންކަން,5,,
އަތުވެއްޖެނަމަ,5,,
ކުރުމަށާއި,5,,
ކަންބޮޑީ,5,,
ގެދަރިޔަކަށް,5,1,
ވުމަށާއި,5,,
އިރާދަކުރެއްވި,5,,
ކުރޭހެއްޔެވެ,5,,
ފޮނުއްވި,5,,
ކުރައްވައިފީމެވެ,5,,
ވެވުނު,5,,
ތައްކުރި,5,,
ކިޔަތެވެ,5,,
ދެއްވުންވީ,5,,
ކުރެއްވުމަށްޓަކައި,5,,
ވެވޮޑިގެންވެއެވެ,5,,
ތަނަވަސްކޮށްދެއްވަތެވެ,5,,
އޭނާގެ,5,,
ހުސް,5,,
ތަކާމެދުގައި,5,1,
ކުރަމުން,5,,
ނުކުރަނީ,5,,
އިރާދަކުރައްވައިފިނަމަ,4,,
ކުރެއްވޫއެވެ,4,,
ފަރުބަދަ,4,,
ވެވޮޑިއެއް,4,,
ހިއްޕެވިހިނދު,4,,
ހެއްޔެވެ,4,,
ވާނޭ,4,,
ތެދުބަސްފުޅެވެ,4,,
ދެކެ,4,,
ދިން,4,,
ލޯބިވެވޮޑިގެންވެއެވެ,4,,
އެމީހަކަށް,4,,
ކޮށްދެއްވަނީ,4,,
ވިޔަސް,4,,
ވެރިވުމަށާއި,4,,
ކަންބޮޑު,4,,
ކުރުމުން,4,,
ވެފައެވެ,4,,
ވެވަޑައި,4,,
ހަނގުރާމައިގެ,4,,
އެއްމެ,4,1,1
ވެވަޑައިގެން,4,,
އަކާއިގެންނެވެ,4,,
ވީނަމަ,4,,
ދެނެވޮޑިގެންވެ,4,,
ންނާމެދު,4,,
އަކުކަމުގައި,4,,
އެއްވާނަމަ,4,1,1
ކަނޑައަޅުއްވައި,4,,
ލައްވަތެވެ,4,,
ވެރިޔަކު,4,,
ބާވައިލައްވާފައިވާ,4,,
ދެނެވޮޑިގެންވާ,4,,
ގަދަފަދަ,4,,
ވެރިޔަކުވެސް,4,,
ކުރާނީ,4,,
ބަސް,4,,
ހެކިވެވޮޑިގެންވެއެވެ,4,,
ކުޅަމީހުންނަށް,4,,
ދޭނަމަ,4,,
ވެއްޖެކަން,4,,
މުދާ,4,,
ހުރި,4,,
ގެމަގުން,4,1,
ކޮށްފައިވާ,4,,
ންނަށްވެސް,4,,
ނޫންފަރާތަކަށް,4,,
ވީހިނދު,4,,
ތަކަށްވާ,4,1,
ނުވި,4,,
ހާދަހާ,4,,
އަކާއެކު,4,,
މި,4,,
އައެވެ,4,,
ކަމެއް,4,,
ކުރެއްވުންވަނީ,4,,
ގެމީހުންކުރެ,4,1,
ވެރިވެގަތް,4,,
ނުވިނަމަ,4,,
ފުޅުތަކުން,4,,
ދެއްވާހުށީމެވެ,4,,
ފުދެތެވެ,4,,
ލައްވާހުށްޓެވެ,4,,
ވާހަކަތައް,4,,
ކުރޫއެވެ,4,,
ގެމީހުންނެވެ,4,1,
ދެއްވައިފިނަމަ,4,,
ދެންނެވިއެވެ,4,,
ވެވަޑައިގަންނަވާ,4,,
ކޮށްބަލާށެވެ,4,,
އިރާދަކުރައްވާނަމަ,4,,
ބަހުންވާ,4,,
ނުކޮށް,4,,
ތެރިކުރެއްވިއެވެ,4,,
ންކަމުގައި,4,,
ކުރެއްވުމުގެ,4,,
ވެސްމެއެވެ,4,,
ނުކުރައްވާށެވެ,4,,
ގެގޮތުން,4,1,
ހަލާކުކުރެއްވިކަން,4,,
ކިޔާ,4,,
ކަމެއްގައެވެ,4,,
ދެއްވުމެއް,4,,
ގެދަރިންކުރެ,4,1,
ންވަނީ,4,,
އަށްޓަކައެވެ,4,,
ދުވަހުގައި,4,,
ވާފަދަ,4,,
އެއްގައެވެ,4,1,1
ދުވަހެވެ,4,,
ލެހެއްޓެވީމެވެ,4,,
ތައްވީ,4,,
ހަނދުމަކުޅައުމަށް,4,,
ންވެއެވެ,4,,
ނުކުރެއްވިޔަސް,3,,
ވެރިކަމުގައި,3,,
ވަނިވި,3,,
ވަކިކުރަނިވި,3,,
ތަކެތިން,3,,
އިންނާއި,3,1,
އެއްނެތް,3,1,1
ހިއްޕަވައި,3,,
ވިހިނދު,3,,
ވީމުއެވެ,3,,
ކުޅައީމުއެވެ,3,,
ވުމެވެ,3,,
ވެވަޑައެއް,3,,
ވެވަޑައިގެންފިނަމަ,3,,
ލައްވައިފާނދޭވެ,3,,
ތިޔަބައިމީހުންނަށްޓަކައި,3,,
ކުރަނީހެއްޔެވެ,3,,
ފުރިހަމަ,3,,
ކުރުމަކުން,3,,
އުޑުން,3,,
ކުރައްވާފައިވާކަން,3,,
އަށްފަހު,3,,
ކުޅައުމަށް,3,,
މޮޅަށް,3,,
ވުމާއި,3,,
ވެއްޖައުމަށްދާނދެން,3,,
ކޮށްގެން,3,,
ހުރިގޮތް,3,,
ކުރުމެވެ,3,,
ވެއްޖައޫއެވެ,3,,
އަކުނުވާ,3,,
ކުރުމެއް,3,,
އާޔަށް,3,1,1
ދޫކޮށް,3,,
ބެއްލެވުމަށް,3,,
އެއްވާކަން,3,1,1
ކުރެއްވުމުގައި,3,,
ފުޅުގައެވެ,3,,
ންދެކެ,3,,
ފުޅެއް,3,,
ފުޅެއްގެ,3,,
އުވާލައި,3,,
ނުކުރައްވާހުށްޓެވެ,3,,
ބާވައިލެއްވުމުގެ,3,,
އިރާދައެއް,3,,
ހަނގުރާމައިގައި,3,,
ލިބޭނެކަމުގެ,3,,
ލިބުމެއް,3,,
އެނބުރި,3,,
ޖަޒާ,3,,
ލިބޭ,3,,
ވެރިކަންވަނީ,3,,
ކަނޑައަޅަންޖެހޭ,3,,
ކަށަވަރު,3,,
ލެއްވުމަށެވެ,3,,
ވެރިވެގެންވާ,3,,
ކުރެއްވިނަމަ,3,,
ވެއްޖައީހެވެ,3,,
ބައްލަވާ,3,,
ވެރިކަމާއި,3,,
އަޅަކު,3,,
ކުރާނޭ,3,,
އަންހެނުންނާ,3,,
ދެއްވުމުން,3,,
ތެރިވުމުގެ,3,,
އޭނާޔަށް,3,,
އެއުރެންނާ,3,,
ނުކުރާމީހާ,3,,
ތައްވަނީ,3,,
ވަންތަކަމެވެ,3,,
ފުޅުވަނީ,3,,
ކުރިއެވެ,3,,
ވެގެންވީ,3,,
ގެފާނަކީ,3,1,
ކުރާނެހެއްޔެވެ,3,,
ތެރިޔަކުވެސް,3,,
ބެއްލެވުމުގެ,3,,
ކުރައްވަމުން,3,,
ވެތިބެ,3,,
ނުވާނެ,3,,
އަކުނުވެއެވެ,3,,
ންނަށެވެ,3,,
އާއަކީ,3,1,1
ކޮށްފައި,3,,
ކުރާނޫއެވެ,3,,
އައުމުން,3,,
މަތިވެރިވެ,3,,
ގެބޮޑުން,3,1,
ވެރިވިމީހުން,3,,
ސިއްކަގައްސަވަނީ,3,,
ކުރެއްވުމުން,3,,
މަގު,3,,
ދިނުމަކަށް,3,,
ވެވޭ,3,,
ނުދައްކާށެވެ,3,,
ކުރެއްވުމެއް,3,,
ވުމަށްޓަކައި,3,,
ގެއްލެނި,3,,
ދިނީހެވެ,3,,
ދެކޭހިނދު,3,,
ފުޅުތަކަށް,3,,
ފެނިއްޖައުމަށް,3,,
ވުމުން,3,,
ތަކުންނާއި,3,1,
ރަނގަޅީ,3,,
އަންނަ,3,,
ހެއްދެވިކަމަށް,3,,
ތަކެކެވެ,3,1,
ދުވަހުންވެސް,3,,
ބާގައިމީހުންނަށް,3,,
ބަހުންއޮތް,3,,
އިޖާބަކުރައްވައި,3,,
ތިމަންމެންގެ,3,,
ލިބެނިވި,3,,
ހަނދުމަކުރުމުން,3,,
އެއީ,3,,
ކޮށެއް,3,,
ވެތިބޭ,3,,
އިއްވަވަނީ,3,,
ކިޔަވައި,3,,
ލިބުނު,3,,
ކުއްޖާ,3,,
ޖެހިފައިވާ,3,,
ވީކަމުގެ,3,,
ނުކުރައްވާ,3,,
ތައްކުޅަމީހުން,3,,
ކުރިމީހާ,3,,
ދިނުމަށް,3,,
ހަލާކުކުރެއްވިން,3,,
ސޫފިތަކަށް,3,,
ންނާއެކު,3,,
އަވަސްވުމަށް,3,,
ނުވާމީހުން,3,,
ންނެއް,3,,
ވެގެންވާގޮތުގައި,3,,
ވެރިވާމީހާ,3,,
ފުދިވޮޑިގެންވެއެވެ,3,,
